"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Andorra","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","13274.535","4960","Weight in kilograms","4960"
"Andorra","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","22346.843","7201","Weight in kilograms","7201"
"Armenia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1650.73","277","Weight in kilograms","277"
"Armenia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","154760.85","66460.26","Weight in kilograms","66460.26"
"Armenia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","99129.48","31029.87","Weight in kilograms","31029.87"
"Armenia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1089.35","146.294","Weight in kilograms","146.294"
"Armenia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","33407.38","21940","Weight in kilograms","21940"
"ASEAN","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","355585.575","460074.872","Weight in kilograms","460074.872"
"ASEAN","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","284144088.965","375197284.152","Weight in kilograms","375197284.152"
"ASEAN","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","259732766.479","291663964.266","Weight in kilograms","291663964.266"
"ASEAN","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","139419.381","220526.458","Weight in kilograms","220526.458"
"Australia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","105020.065","350010","Weight in kilograms","350010"
"Australia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1095980.188","1289211","Weight in kilograms","1289211"
"Australia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","132.873","60","Weight in kilograms","60"
"Australia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","960012.614","1245534","Weight in kilograms","1245534"
"Australia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1383704.208","1538051","Weight in kilograms","1538051"
"Austria","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","63761.951","23441","Weight in kilograms","23441"
"Austria","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","247651.896","125988.563","Weight in kilograms","125988.563"
"Austria","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","39522.531","14710","Weight in kilograms","14710"
"Austria","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","280261.582","183922","Weight in kilograms","183922"
"Austria","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","111553.654","37313","Weight in kilograms","37313"
"Austria","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","195102.532","137642","Weight in kilograms","137642"
"Azerbaijan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","7310","17000","Weight in kilograms","17000"
"Azerbaijan","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","129740","64870","Weight in kilograms","64870"
"Azerbaijan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","53200","26600","Weight in kilograms","26600"
"Azerbaijan","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","16880","26600","Weight in kilograms","26600"
"Azerbaijan","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","210","53","Weight in kilograms","53"
"Bahamas","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","231","233.928","Weight in kilograms","233.928"
"Bahrain","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","442812.807","448426.289","Weight in kilograms","448426.289"
"Bahrain","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","59411.356","79780","Weight in kilograms","79780"
"Belgium","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","82800.731","80607.36","Weight in kilograms","80607.36"
"Belgium","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1064359.226","1022471.35","Weight in kilograms","1022471.35"
"Belgium","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","87817.166","91011.62","Weight in kilograms","91011.62"
"Belgium","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1124296.58","953183.995","Weight in kilograms","953183.995"
"Belgium","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","66624.744","71364.4","Weight in kilograms","71364.4"
"Belgium","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1075023.723","844166.71","Weight in kilograms","844166.71"
"Belize","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","15.13","10","Weight in kilograms","10"
"Belize","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","13.505","2","Weight in kilograms","2"
"Belize","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","264.64","133.17","Weight in kilograms","133.17"
"Benin","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","20480.297","215765","Weight in kilograms","215765"
"Bermuda","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","91.95","5","Weight in kilograms","5"
"Bermuda","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","190.08","34","Weight in kilograms","34"
"Bosnia Herzegovina","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","4860.116","1800","Weight in kilograms","1800"
"Bosnia Herzegovina","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","52102.526","39880","Weight in kilograms","39880"
"Bosnia Herzegovina","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","28976.866","25700","Weight in kilograms","25700"
"Bosnia Herzegovina","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","73444.32","36000","Weight in kilograms","36000"
"Botswana","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1795.992","1100","Weight in kilograms","444"
"Botswana","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","403.765","18","Weight in kilograms","1"
"Brazil","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","402728","500121","Weight in kilograms","488323"
"Brazil","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","913369","1221032","Weight in kilograms","1221032"
"Brazil","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","313076","454230","Weight in kilograms","454229"
"Brazil","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1300117","2362012","Weight in kilograms","2362012"
"Brazil","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","546","672","Weight in kilograms","672"
"Brazil","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","838023","861114","Weight in kilograms","861114"
"Brunei Darussalam","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","35580.914","43910","Weight in kilograms","43910"
"Bulgaria","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","99566.24","58038","Weight in kilograms","58038"
"Bulgaria","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","83253.054","67285","Weight in kilograms","67285"
"Bulgaria","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","110001.836","63451","Weight in kilograms","63451"
"Burkina Faso","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","13218.498","24809","Weight in kilograms","24809"
"Cambodia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","20.82","1.26","Weight in kilograms","1.26"
"Cambodia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","22554.85","39366","Weight in kilograms","39366"
"Cambodia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","11081.87","78050.87","Weight in kilograms","78050.87"
"Canada","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","94.935","119.057","Weight in kilograms","119.057"
"Canada","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","927099.668","5377824.505","Weight in kilograms","5377824.505"
"Canada","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1204968.948","725744.038","Weight in kilograms","725744.038"
"Canada","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1368977.339","1512274.975","Weight in kilograms","1512274.975"
"Chile","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","67064.986","75543.777","Weight in kilograms","75543.777"
"Chile","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","1048.06","43.777","Weight in kilograms","43.777"
"Chile","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","24532.679","23403.55","Weight in kilograms","23403.55"
"China","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","485153","659620","Weight in kilograms","659620"
"China","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","70462827","159887870","Weight in kilograms","159887870"
"China","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","71681929","154193792","Weight in kilograms","154193792"
"China","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","410534","373469","Weight in kilograms","373469"
"China","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","44964863","85659039","Weight in kilograms","85659039"
"China","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1785498","753603","Weight in kilograms","753603"
"China, Hong Kong SAR","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","1537.706","1928.421","Weight in kilograms","1928.421"
"China, Hong Kong SAR","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3952.416","3565.855","Weight in kilograms","3565.855"
"China, Hong Kong SAR","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3723.953","3771.161","Weight in kilograms","3771.161"
"China, Hong Kong SAR","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","28238.056","26992.082","Weight in kilograms","26992.082"
"China, Hong Kong SAR","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","22155.632","24174.327","Weight in kilograms","24174.327"
"China, Macao SAR","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3146.939","6650","Weight in kilograms","6650"
"Colombia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","32770.64","25340.67","Weight in kilograms","25340.67"
"Colombia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","185.11","356.69","Weight in kilograms","356.69"
"Costa Rica","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","598.25","18.28","Weight in kilograms","18.28"
"Costa Rica","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","3.17","2.47","Weight in kilograms","2.47"
"Côte d'Ivoire","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","8683.954","50013","Weight in kilograms","50013"
"Croatia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","8461","1820","Weight in kilograms","1820"
