Country or Area,Year,Trade (USD),Weight (kg),Quantity Name,Quantity
Andorra,2022,22346.843,7201,Weight in kilograms,7201
Andorra,2023,13274.535,4960,Weight in kilograms,4960
Armenia,2022,33407.38,21940,Weight in kilograms,21940
Armenia,2023,99129.48,31029.87,Weight in kilograms,31029.87
Armenia,2024,154760.85,66460.26,Weight in kilograms,66460.26
Australia,2022,1383704.208,1538051,Weight in kilograms,1538051
Australia,2023,960012.614,1245534,Weight in kilograms,1245534
Australia,2024,1095980.188,1289211,Weight in kilograms,1289211
Austria,2022,195102.532,137642,Weight in kilograms,137642
Austria,2023,280261.582,183922,Weight in kilograms,183922
Austria,2024,247651.896,125988.563,Weight in kilograms,125988.563
Azerbaijan,2022,210,53,Weight in kilograms,53
Azerbaijan,2023,53200,26600,Weight in kilograms,26600
Azerbaijan,2024,129740,64870,Weight in kilograms,64870
Bahamas,2023,231,233.928,Weight in kilograms,233.928
Bahrain,2022,59411.356,79780,Weight in kilograms,79780
Bahrain,2023,442812.807,448426.289,Weight in kilograms,448426.289
Belgium,2022,1075023.723,844166.71,Weight in kilograms,844166.71
Belgium,2023,1124296.58,953183.995,Weight in kilograms,953183.995
Belgium,2024,1064359.226,1022471.35,Weight in kilograms,1022471.35
Belize,2023,264.64,133.17,Weight in kilograms,133.17
Belize,2024,13.505,2,Weight in kilograms,2
Bermuda,2022,190.08,34,Weight in kilograms,34
Bermuda,2023,91.95,5,Weight in kilograms,5
Bosnia Herzegovina,2022,73444.32,36000,Weight in kilograms,36000
Bosnia Herzegovina,2023,28976.866,25700,Weight in kilograms,25700
Bosnia Herzegovina,2024,52102.526,39880,Weight in kilograms,39880
Botswana,2022,403.765,18,Weight in kilograms,1
Botswana,2023,1795.992,1100,Weight in kilograms,444
Brazil,2022,838023,861114,Weight in kilograms,861114
Brazil,2023,1300117,2362012,Weight in kilograms,2362012
Brazil,2024,913369,1221032,Weight in kilograms,1221032
Brunei Darussalam,2023,35580.914,43910,Weight in kilograms,43910
Bulgaria,2022,110001.836,63451,Weight in kilograms,63451
Bulgaria,2023,83253.054,67285,Weight in kilograms,67285
Bulgaria,2024,99566.24,58038,Weight in kilograms,58038
Burkina Faso,2024,13218.498,24809,Weight in kilograms,24809
Cambodia,2022,11081.87,78050.87,Weight in kilograms,78050.87
Cambodia,2023,20.82,1.26,Weight in kilograms,1.26
Canada,2022,1368977.339,1512274.975,Weight in kilograms,1512274.975
Canada,2023,1204968.948,725744.038,Weight in kilograms,725744.038
Canada,2024,927099.668,5377824.505,Weight in kilograms,5377824.505
Chile,2022,24532.679,23403.55,Weight in kilograms,23403.55
Chile,2023,1048.06,43.777,Weight in kilograms,43.777
Chile,2024,67064.986,75543.777,Weight in kilograms,75543.777
China,2022,44964863,85659039,Weight in kilograms,85659039
China,2023,71681929,154193792,Weight in kilograms,154193792
China,2024,70462827,159887870,Weight in kilograms,159887870
"China, Hong Kong SAR",2022,22155.632,24174.327,Weight in kilograms,24174.327
"China, Hong Kong SAR",2023,3723.953,3771.161,Weight in kilograms,3771.161
"China, Hong Kong SAR",2024,3952.416,3565.855,Weight in kilograms,3565.855
"China, Macao SAR",2023,3146.939,6650,Weight in kilograms,6650
Colombia,2022,185.11,356.69,Weight in kilograms,356.69
Colombia,2023,32770.64,25340.67,Weight in kilograms,25340.67
Costa Rica,2022,3.17,2.47,Weight in kilograms,2.47
Costa Rica,2023,598.25,18.28,Weight in kilograms,18.28
Croatia,2022,829,780,Weight in kilograms,780
Croatia,2023,16487,3601,Weight in kilograms,3601
Croatia,2024,8461,1820,Weight in kilograms,1820
Cyprus,2022,77763.429,199840,Weight in kilograms,199840
Cyprus,2023,57068.276,44970,Weight in kilograms,44970
Cyprus,2024,59514.69,42917,Weight in kilograms,42917
Czech Rep.,2022,277910,296050.159,Weight in kilograms,296050.159
Czech Rep.,2023,216166,112577.101,Weight in kilograms,112577.101
Czech Rep.,2024,177261,120863.091,Weight in kilograms,120863.091
Denmark,2022,149622.006,192786,Weight in kilograms,192786
Denmark,2023,415984.992,525654,Weight in kilograms,525654
Denmark,2024,2112699.417,3529903,Weight in kilograms,3529903
Estonia,2022,407267.78,459141.27,Weight in kilograms,459141.27
Estonia,2023,44320.04,29888.6,Weight in kilograms,29888.6
Estonia,2024,57367.54,42574.86,Weight in kilograms,42574.86
Fiji,2023,4574.412,936,Weight in kilograms,936
Finland,2022,56219.107,88581,Weight in kilograms,88581
Finland,2023,80422.597,115133,Weight in kilograms,115133
Finland,2024,256153.995,206393,Weight in kilograms,206393
France,2022,1027987.126,710808.07,Weight in kilograms,710808.07
France,2023,775673.995,443235.365,Weight in kilograms,443235.365
France,2024,826596.639,482909.671,Weight in kilograms,482909.671
Germany,2022,3502656.671,2347316.741,Weight in kilograms,2347316.741
Germany,2023,4296850.125,3257157.212,Weight in kilograms,3257157.212
Germany,2024,3925960.615,3310228.553,Weight in kilograms,3310228.553
Greece,2022,269640.473,471588,Weight in kilograms,471588
Greece,2023,214006.848,252943,Weight in kilograms,252943
Greece,2024,139916.075,95380,Weight in kilograms,95380
Guatemala,2022,70,59.85,Weight in kilograms,59.85
Honduras,2023,103.5,4.93,Weight in kilograms,4.93
Hungary,2022,558250,1035019.8,Weight in kilograms,1035021
Hungary,2023,247047,236449,Weight in kilograms,236449
Hungary,2024,79638,79014,Weight in kilograms,79014
Iceland,2022,1281.875,389.874,Weight in kilograms,389.874
Iceland,2023,496.444,25.19,Weight in kilograms,25.19
Iceland,2024,66.013,3.776,Weight in kilograms,3.776
India,2022,4807568.031,34757802.855,Weight in kilograms,34757802.855
India,2023,2204019.328,2611058.483,Weight in kilograms,2611058.483
India,2024,2844309.312,116758381.852,Weight in kilograms,116758381.852
Indonesia,2022,95810,134596,Weight in kilograms,134596
Indonesia,2023,79367,148247,Weight in kilograms,148247
Ireland,2022,262330.209,112732.453,Weight in kilograms,112732.453
Ireland,2023,13558.027,9115,Weight in kilograms,9115
Ireland,2024,127226.246,115759,Weight in kilograms,115759
Israel,2022,394000,429899.026,Weight in kilograms,429899.026
Israel,2023,283000,286587.555,Weight in kilograms,286587.555
Israel,2024,481000,433956.403,Weight in kilograms,433956.403
Italy,2022,284428.435,329029,Weight in kilograms,329029
Italy,2023,97877.517,92308,Weight in kilograms,92308
Italy,2024,718300.145,762949,Weight in kilograms,762949
Jamaica,2022,117.48,29,Weight in kilograms,29
Jamaica,2023,819.49,47,Weight in kilograms,47
Japan,2022,27456562.174,29498000,Weight in kilograms,29498000
Japan,2023,21438328.536,25046000,Weight in kilograms,25046000
Japan,2024,19826512.518,24705483.969,Weight in kilograms,24705483.969
Jordan,2022,144209.859,157349.436,Weight in kilograms,157349.436
Jordan,2023,408124.745,413298.491,Weight in kilograms,413298.491
Kazakhstan,2022,84672.18,192927.48,Weight in kilograms,192927.48
Kazakhstan,2023,37673.56,118664,Weight in kilograms,118664
Kenya,2023,18694.292,16392,Weight in kilograms,16392
Kuwait,2022,560525.956,611597.874,Weight in kilograms,611597.874
Kuwait,2023,289545.97,293216.508,Weight in kilograms,293216.508
Kyrgyzstan,2023,57902,38285.951,Weight in kilograms,38285.951
Kyrgyzstan,2024,29805,82800,Weight in kilograms,82800
Lao People's Dem. Rep.,2023,180,1000,Weight in kilograms,1000
Latvia,2022,62047.731,70286,Weight in kilograms,70286
Latvia,2023,51628.414,47932,Weight in kilograms,47932
Latvia,2024,28538.043,31026,Weight in kilograms,31026
Liberia,2023,833.61,740,Weight in kilograms,740
Lithuania,2022,238792,123158,Weight in kilograms,123158
Lithuania,2023,155015,120695,Weight in kilograms,120695
Lithuania,2024,147066,117480,Weight in kilograms,117480
Luxembourg,2022,218719.791,195168.361,Weight in kilograms,195168.361
Luxembourg,2023,47569.786,19004.743,Weight in kilograms,19004.743
Luxembourg,2024,28509.598,13442.58,Weight in kilograms,13442.58
Malaysia,2022,4267091.991,9847136,Weight in kilograms,9847136
Malaysia,2023,5563142.074,17971487.5,Weight in kilograms,17971487.5
Malaysia,2024,6975662.213,21446677.2,Weight in kilograms,21446677.2
Maldives,2022,99191.791,139921,Weight in kilograms,139921
Maldives,2023,135337.672,209055,Weight in kilograms,209055
Maldives,2024,135187.232,213081,Weight in kilograms,213081
Malta,2022,159.01,5,Weight in kilograms,5
Malta,2023,20466.252,23262,Weight in kilograms,23262
Malta,2024,34964.136,44410,Weight in kilograms,44410
Mauritius,2024,427.002,47,Weight in kilograms,47
Montenegro,2023,1059.543,25,Weight in kilograms,25
Montenegro,2024,1148.677,789.5,Weight in kilograms,789.5
Morocco,2022,737111.343,263680,Weight in kilograms,263680
Morocco,2023,687249.395,320746,Weight in kilograms,320746
Myanmar,2024,575,230,Weight in kilograms,230
Namibia,2022,18.831,1,Weight in kilograms,1
Namibia,2023,35.879,2,Weight in kilograms,2
Namibia,2024,1252.185,293.74,Weight in kilograms,293.74
Netherlands,2022,453628.077,460067,Weight in kilograms,460067
Netherlands,2023,1241835.929,1086566.784,Weight in kilograms,1086566.784
Netherlands,2024,3326459.302,4132750,Weight in kilograms,4132750
New Zealand,2022,693543.966,749033,Weight in kilograms,749033
New Zealand,2023,159906.452,222162,Weight in kilograms,222162
New Zealand,2024,547762.769,748674,Weight in kilograms,748674
Niger,2023,49.682,30,Weight in kilograms,30
Nigeria,2023,90662.293,26430,Weight in kilograms,26430
Nigeria,2024,63229.847,48130.36,Weight in kilograms,48130.36
Norway,2022,298750.886,119221,Weight in kilograms,119221
Norway,2023,43005.951,21615,Weight in kilograms,21615
Norway,2024,128336.34,51480,Weight in kilograms,51480
Oman,2022,76304.291,83256.702,Weight in kilograms,83256.702
Oman,2023,421651.495,426996.718,Weight in kilograms,426996.718
"Other Asia, nes",2023,52353.198,125380,Weight in kilograms,125380
Pakistan,2023,30.358,1,Weight in kilograms,1
Panama,2023,7672,3300,Weight in kilograms,3300
Panama,2024,12507,9600,Weight in kilograms,9600
Philippines,2024,19076,128512,Weight in kilograms,128512
Poland,2022,113094,410547.014,Weight in kilograms,410547.014
Poland,2023,694217,598923.705,Weight in kilograms,598923.705
Poland,2024,405022,449481,Weight in kilograms,449481
Portugal,2022,864410.764,2125136,Weight in kilograms,2125136
Portugal,2023,1746076.9,6173119.057,Weight in kilograms,6173119.057
Portugal,2024,250650.652,129611,Weight in kilograms,129611
Qatar,2023,196573.623,199065.562,Weight in kilograms,199065.562
Rep. of Korea,2022,2380404,4882092.13,Weight in kilograms,4882092.13
Rep. of Korea,2023,2687950,5252932.695,Weight in kilograms,5252932.695
Rep. of Korea,2024,1879919,3545997.322,Weight in kilograms,3545997.322
Rep. of Moldova,2023,36148,14430,Weight in kilograms,14430
Rep. of Moldova,2024,46104,20078,Weight in kilograms,20078
Romania,2022,460449.22,571772.534,Weight in kilograms,571772.534
Romania,2023,64284.63,79695.553,Weight in kilograms,79695.553
Romania,2024,144526.91,112718.335,Weight in kilograms,112718.335
Saudi Arabia,2022,1418457.565,1246066,Weight in kilograms,1246066
Saudi Arabia,2023,5627946.793,5699291.566,Weight in kilograms,5699291.566
Serbia,2022,26835,143505,Weight in kilograms,143505
Singapore,2022,269198.5,417640,Weight in kilograms,417640
Singapore,2023,146613.397,196454.76,Weight in kilograms,196454.76
Slovakia,2022,106470.588,70501.697,Weight in kilograms,70501.697
Slovakia,2023,109806.072,62852,Weight in kilograms,62852
Slovakia,2024,66149.205,48316,Weight in kilograms,48316
Slovenia,2022,10860.799,4913.581,Weight in kilograms,4913.581
