Rank,Country,Import Value 2022 USD,Import Volume 2022 kg,Import Value 2023 USD,Import Volume 2023 kg,Import Value 2024 USD,Import Volume 2024 kg
1,China,44964863.0,85659039.0,71681929.0,154193792.0,70462827.0,159887870.0
2,Japan,27456562.174,29498000.0,21438328.536,25046000.0,19826512.518,24705483.969
3,Sri Lanka,,,4988878.238,9798814.0,11103204.349,19260520.0
4,Malaysia,4267091.991,9847136.0,5563142.074,17971487.5,6975662.213,21446677.2
5,USA,4818987.0,2991000.0,4128564.0,2764000.0,4409750.0,3132000.0
6,Germany,3502656.671,2347316.741,4296850.125,3257157.212,3925960.615,3310228.553
7,Netherlands,453628.077,460067.0,1241835.929,1086566.784,3326459.302,4132750.0
8,Türkiye,3118323.0,2898772.0,3062954.0,3370426.0,2987829.0,2706080.0
9,India,4807568.031,34757802.855,2204019.328,2611058.483,2844309.312,116758381.852
10,Denmark,149622.006,192786.0,415984.992,525654.0,2112699.417,3529903.0
11,Rep. of Korea,2380404.0,4882092.13,2687950.0,5252932.695,1879919.0,3545997.322
12,Uzbekistan,,,300624.0,199840.0,1337378.0,988410.0
13,Ukraine,,,676637.09,440011.596,1155436.31,653618.0
14,United Kingdom,695143.357,442523.0,754224.551,638762.751,1104540.909,0.0
15,Australia,1383704.208,1538051.0,960012.614,1245534.0,1095980.188,1289211.0
16,Belgium,1075023.723,844166.71,1124296.58,953183.995,1064359.226,1022471.35
17,Sweden,3538175.777,5449152.271,2638414.064,3781350.772,1029653.035,1115871.464
18,Canada,1368977.339,1512274.975,1204968.948,725744.038,927099.668,5377824.505
19,Brazil,838023.0,861114.0,1300117.0,2362012.0,913369.0,1221032.0
20,Spain,539061.933,320214.713,456633.243,355140.44,841927.104,685059.5
